global_acc_list,global_loss_list
0.9040476190476191,"tf.Tensor(1.6157964, shape=(), dtype=float32)"
0.9007142857142857,"tf.Tensor(1.6148963, shape=(), dtype=float32)"
0.8845238095238095,"tf.Tensor(1.6257613, shape=(), dtype=float32)"
0.9071428571428571,"tf.Tensor(1.6045052, shape=(), dtype=float32)"
0.9016666666666666,"tf.Tensor(1.6098121, shape=(), dtype=float32)"
0.8923809523809524,"tf.Tensor(1.6153722, shape=(), dtype=float32)"
0.905952380952381,"tf.Tensor(1.6046647, shape=(), dtype=float32)"
0.8871428571428571,"tf.Tensor(1.618627, shape=(), dtype=float32)"
0.8888095238095238,"tf.Tensor(1.634, shape=(), dtype=float32)"
0.9069047619047619,"tf.Tensor(1.6064723, shape=(), dtype=float32)"
0.9011904761904762,"tf.Tensor(1.6117284, shape=(), dtype=float32)"
0.8916666666666667,"tf.Tensor(1.6177998, shape=(), dtype=float32)"
0.8819047619047619,"tf.Tensor(1.6268582, shape=(), dtype=float32)"
0.9042857142857142,"tf.Tensor(1.6084718, shape=(), dtype=float32)"
0.8928571428571429,"tf.Tensor(1.6247478, shape=(), dtype=float32)"
0.8907142857142857,"tf.Tensor(1.6139123, shape=(), dtype=float32)"
0.8961904761904762,"tf.Tensor(1.6124591, shape=(), dtype=float32)"
0.8635714285714285,"tf.Tensor(1.6433759, shape=(), dtype=float32)"
0.8626190476190476,"tf.Tensor(1.6396478, shape=(), dtype=float32)"
0.8997619047619048,"tf.Tensor(1.6077198, shape=(), dtype=float32)"
0.9040476190476191,"tf.Tensor(1.6098669, shape=(), dtype=float32)"
0.909047619047619,"tf.Tensor(1.6044334, shape=(), dtype=float32)"
0.9133333333333333,"tf.Tensor(1.6002653, shape=(), dtype=float32)"
0.8838095238095238,"tf.Tensor(1.6253809, shape=(), dtype=float32)"
0.8992857142857142,"tf.Tensor(1.6154453, shape=(), dtype=float32)"
0.8876190476190476,"tf.Tensor(1.619556, shape=(), dtype=float32)"
0.8859523809523809,"tf.Tensor(1.6184087, shape=(), dtype=float32)"
0.8673809523809524,"tf.Tensor(1.6352981, shape=(), dtype=float32)"
0.9085714285714286,"tf.Tensor(1.6007721, shape=(), dtype=float32)"
0.9038095238095238,"tf.Tensor(1.611442, shape=(), dtype=float32)"
0.9045238095238095,"tf.Tensor(1.606905, shape=(), dtype=float32)"
0.9128571428571428,"tf.Tensor(1.6023412, shape=(), dtype=float32)"
0.8904761904761904,"tf.Tensor(1.6212273, shape=(), dtype=float32)"
0.8859523809523809,"tf.Tensor(1.6241788, shape=(), dtype=float32)"
0.8857142857142857,"tf.Tensor(1.6198877, shape=(), dtype=float32)"
0.8652380952380953,"tf.Tensor(1.653124, shape=(), dtype=float32)"
0.8976190476190476,"tf.Tensor(1.616622, shape=(), dtype=float32)"
0.8980952380952381,"tf.Tensor(1.6132879, shape=(), dtype=float32)"
0.9040476190476191,"tf.Tensor(1.607493, shape=(), dtype=float32)"
0.9076190476190477,"tf.Tensor(1.6033916, shape=(), dtype=float32)"
0.905,"tf.Tensor(1.6023867, shape=(), dtype=float32)"
0.9088095238095238,"tf.Tensor(1.6040711, shape=(), dtype=float32)"
0.8809523809523809,"tf.Tensor(1.6243532, shape=(), dtype=float32)"
0.8914285714285715,"tf.Tensor(1.6227697, shape=(), dtype=float32)"
0.910952380952381,"tf.Tensor(1.6077822, shape=(), dtype=float32)"
0.8907142857142857,"tf.Tensor(1.6198877, shape=(), dtype=float32)"
